Project Title,Administering  IC,Application ID,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Subproject Number ,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Organization Name,ARRA Indicator,FY,FY Total Cost ,FY Total Cost  (Sub Projects)
Study of Accessory Lacrimal Gland and Precursor Cell Biology,NEI,8679183,1K08EY024339-01,1,K08,EY,24339,1,,,7018046,"AAKALU, VINAY ",Not Applicable,UNIVERSITY OF ILLINOIS AT CHICAGO, ,2014,236427,
Examining The Effect Of Ketamine On Glutamate/Glutamine Cycling,NIMH,8561556,1K23MH101498-01,1,K23,MH,101498,1,,,11008597,"ABDALLAH, CHADI ",Not Applicable,YALE UNIVERSITY, ,2013,181526,
Role of macrophages in pancreatic islet graft rejection,NIDDK,8581263,1K01DK097194-01A1,1,K01,DK,97194,1,A1,,8723487,"ABDULREDA, MIDHAT H",Not Applicable,UNIVERSITY OF MIAMI SCHOOL OF MEDICINE, ,2013,138305,
Role of NFxB/HIF2a axis in renal cell carcinoma progression,NCI,8566987,1K08CA178168-01,1,K08,CA,178168,1,,,11031253,"ABEL, E JASON",Not Applicable,UNIVERSITY OF WISCONSIN-MADISON, ,2013,175163,
TREK-1 in fibroblast differentiation and cardiac fibrosis development,NHLBI,8805331,1K08HL125905-01,1,K08,HL,125905,1,,,10110359,"ABRAHAM, DENNIS ",Not Applicable,DUKE UNIVERSITY, ,2015,127667,
Inflammation; muscle wasting; and physical function in chronic kidney disease,NIDDK,8700915,1K23DK099438-01A1,1,K23,DK,99438,1,A1,,9294191,"ABRAMOWITZ, MATTHEW K",Not Applicable,ALBERT EINSTEIN COLLEGE OF MEDICINE, ,2014,184674,
Decoding Neural Systems Underlying Affective Prosody in Children with Autism,NIMH,8766442,1K01MH102428-01A1,1,K01,MH,102428,1,A1,,8026627,"ABRAMS, DANIEL ARTHUR",Not Applicable,STANFORD UNIVERSITY, ,2014,176164,
BEX1 and the control of protein translation in cardiac hypertrophy,NHLBI,8616925,1K99HL121284-01,1,K99,HL,121284,1,,,11676241,"ACCORNERO, FEDERICA ",Not Applicable,CINCINNATI CHILDRENS HOSP MED CTR, ,2014,131085,
Defining mechanisms of cancer chemoresistance and metastasis,NCI,8425810,1K99CA172697-01,1,K99,CA,172697,1,,,11264317,"ACHARYYA, SWARNALI ",Not Applicable,SLOAN-KETTERING INST CAN RESEARCH, ,2013,158535,
M-Health Tools to Enhance Treatment of Teen Substance Abuse and Mental Illness,NIDA,8890616,1K23DA038257-01A1,1,K23,DA,38257,1,A1,,10102038,"ADAMS, ZACHARY WILLIAM",Not Applicable,MEDICAL UNIVERSITY OF SOUTH CAROLINA, ,2015,174685,
Acute and Chronic Nicotine Modulation of Reinforcement Learning,NIDA,8509087,1K01DA033347-01A1,1,K01,DA,33347,1,A1,,8324749,"ADDICOTT, MERIDETH A",Not Applicable,DUKE UNIVERSITY, ,2013,114873,
Dissection of the anxiety suppression circuitry,NIMH,8867829,1K99MH106649-01,1,K99,MH,106649,1,,,11097443,"ADHIKARI, AVISHEK ",Not Applicable,STANFORD UNIVERSITY, ,2015,113694,
The causal role of inferior temporal cortex in object recognition,NEI,8424754,1K99EY022924-01,1,K99,EY,22924,1,,,10305011,"AFRAZ, ARASH ",Not Applicable,MASSACHUSETTS INSTITUTE OF TECHNOLOGY, ,2013,106833,
Prognostic Biomarkers in Chronic Kidney Disease,NIDDK,8949489,1K08DK106523-01,1,K08,DK,106523,1,,,10242207,"AFSHINNIA, FARSAD ",Not Applicable,UNIVERSITY OF MICHIGAN AT ANN ARBOR, ,2015,147449,
Computational Tools for the Analysis of MRI Images in Type-1 Diabetes,NIDDK,8966899,1K01DK101631-01A1,1,K01,DK,101631,1,A1,,11765958,"AGANJ, IMAN ",Not Applicable,MASSACHUSETTS GENERAL HOSPITAL, ,2015,160692,
The Cultural Formulation Interview-Engagement Aid for Mental Health Treatment,NIMH,8765652,1K23MH102334-01A1,1,K23,MH,102334,1,A1,,10999842,"AGGARWAL, NEIL KRISHAN",Not Applicable,NEW YORK STATE PSYCHIATRIC INSTITUTE, ,2014,184963,
Age-related Changes in the Vestibular System and Functional Implications,NIDCD,8634966,1K23DC013056-01A1,1,K23,DC,13056,1,A1,,11282862,"AGRAWAL, YURI ",Not Applicable,JOHNS HOPKINS UNIVERSITY, ,2014,238457,
EtOH-induced Immunomodulation: Role of Histone Deacetylases and Cannabinoid Genes,NIAAA,8443331,1K99AA021264-01A1,1,K99,AA,21264,1,A1,,10367924,"AGUDELO, MARISELA ",Not Applicable,FLORIDA INTERNATIONAL UNIVERSITY, ,2013,89963,
Netrin-1 Regulation of T cell trafficking in chronic intestinal inflammation,NIDDK,8566836,1K01DK099485-01,1,K01,DK,99485,1,,,11553532,"AHERNE, CAROL ",Not Applicable,UNIVERSITY OF COLORADO DENVER, ,2013,89694,
Molecular Basis of Autosomal Dominant Hypercholesterolemia in a Multiethnic Cohor,NHLBI,8510142,1K23HL114884-01A1,1,K23,HL,114884,1,A1,,9555774,"AHMAD, ZAHID ",Not Applicable,UT SOUTHWESTERN MEDICAL CENTER, ,2013,155250,
Decreasing Interruptions and Losses from HIV Care in Nigeria,NIAID,8541357,1K23AI106406-01,1,K23,AI,106406,1,,,10906918,"AHONKHAI, AIMALOHI ",Not Applicable,MASSACHUSETTS GENERAL HOSPITAL, ,2013,185211,
Nucleotide Metabolism in Senescence and Platinum Resistance of Ovarian Cancer,NCI,8869303,1K99CA194309-01,1,K99,CA,194309,1,,,11498863,"AIRD, KATHERINE MARIE",Not Applicable,WISTAR INSTITUTE, ,2015,115014,
The role of DNA damage response signaling in chronic kidney disease,NIDDK,8567659,1K99DK099434-01,1,K99,DK,99434,1,,,11591538,"AIRIK, RANNAR ",Not Applicable,BOSTON CHILDREN'S HOSPITAL, ,2013,90000,
Antiarrhythmic Mechanisms of Bilateral Cardiac Sympathetic Decentralization,NHLBI,8804849,1K08HL125730-01,1,K08,HL,125730,1,,,8649758,"AJIJOLA, OLUJIMI A",Not Applicable,UNIVERSITY OF CALIFORNIA LOS ANGELES, ,2015,133110,
Synthetically engineering population control systems in vectors of human disease,NIAID,8766136,1K22AI113060-01,1,K22,AI,113060,1,,,10985411,"AKBARI, OMAR SULTAN",Not Applicable,UNIVERSITY OF CALIFORNIA RIVERSIDE, ,2015,162000,
Alpha-synuclein biomarkers in Parkinson disease,NINDS,8951159,1K08NS093127-01,1,K08,NS,93127,1,,,12435229,"AKHTAR, RIZWAN SMEER",Not Applicable,UNIVERSITY OF PENNSYLVANIA, ,2015,169633,
