Project Title,Administering  IC,Application ID,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Subproject Number ,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Organization Name,ARRA Indicator,FY,FY Total Cost ,FY Total Cost  (Sub Projects)
Improving engagement in care via Community-based mHealth Motivational Interviewing Tool for HIV-positive youth (COMMIT+),NIMH,9624366,1R34MH118049-01,1,R34,MH,118049,1,,,12358296,"ACHARYA, BIBHAV  ","EKSTRAND, MARIA L.;MARU, DUNCAN ","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO", ,2018,256018,
Coordinating Pragmatic Primary care Population management for Obesity (C3PO),NIDDK,9593148,1R34DK114773-01A1,1,R34,DK,114773,1,A1,,8320108,"ACKERMANN, RONALD T.",Not Applicable,NORTHWESTERN UNIVERSITY AT CHICAGO, ,2018,240440,
Preventing Injection: An mHealth intervention that leverages social networks to prevent progression to injection among young opioid users,NIDA,9332834,1R34DA043957-01,1,R34,DA,43957,1,,,7943236,"ACOSTA, MICHELLE C ","GUARINO, HONORIA M",NATIONAL DEVELOPMENT & RES INSTITUTES, ,2017,268625,
Piloting Signs of Safety: A Deaf-Accessible Therapy Toolkit for Alcohol Use Disorder and Trauma,NIAAA,9584817,1R34AA026929-01,1,R34,AA,26929,1,,,12108902,"ANDERSON, MELISSA LEE",Not Applicable,UNIV OF MASSACHUSETTS MED SCH WORCESTER, ,2018,282656,
Scaling a smarter and more efficient intervention: Evaluating the feasibility of disseminating a novel mobile app platform to treat depression,NIMH,9165454,1R34MH110583-01,1,R34,MH,110583,1,,,8003762,"ANGUERA, JOAQUIN A ","AREAN, PATRICIA A.","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO", ,2016,320685,
Navigation and Parent Peer Support to Promote Access and Retention of Children in Mental Health Services,NIMH,9727175,1R34MH119431-01,1,R34,MH,119431,1,,,3203767,"ANTHONY, BRUNO J ","BRUNS, ERIC J.",UNIVERSITY OF COLORADO DENVER, ,2019,196700,
Behavioral and Enhanced Perinatal Intervention for Cessation (B-EPIC): Reducing Tobacco use among Opioid Addicted Women,NIDA,9510661,1R34DA046005-01,1,R34,DA,46005,1,,,9641889,"ASHFORD, KRISTIN H. ","FALLIN-BENNETT, AMANDA ",UNIVERSITY OF KENTUCKY, ,2018,229500,
Pharmacy delivery to expand the reach of PrEP in Kenya,NIMH,9863010,1R34MH120106-01A1,1,R34,MH,120106,1,A1,,9328596,"BAETEN, JARED ",Not Applicable,UNIVERSITY OF WASHINGTON, ,2019,317099,
Mental Health Services for Infants/Toddlers Receiving Part C Early Intervention,NIMH,9297461,1R34MH110541-01A1,1,R34,MH,110541,1,A1,,8828818,"BAGNER, DANIEL MARC ","FRAZIER, STACY L",FLORIDA INTERNATIONAL UNIVERSITY, ,2017,219750,
High School SUCCESS: Vocational Soft Skills Program for Transition-Age ASD Youth,NIMH,9213331,1R34MH111491-01,1,R34,MH,111491,1,,,7613551,"BAKER-ERICZEN, MARY J",Not Applicable,RADY CHILDREN'S HOSPITAL - SAN DIEGO, ,2017,289082,
Development and pilot testing of a PrEP communication intervention and integration into existing HIV testing services for female IV drug using clients of a needle exchange,NIDA,9561712,1R34DA046305-01,1,R34,DA,46305,1,,,6597778,"BASS, SARAH B",Not Applicable,TEMPLE UNIV OF THE COMMONWEALTH, ,2018,229032,
Family psychoeducation for adults with psychotic disorders in Tanzania,NIMH,9228433,1R34MH106663-01A1,1,R34,MH,106663,1,A1,,10453464,"BAUMGARTNER, JOY NOEL",Not Applicable,DUKE UNIVERSITY, ,2017,234634,
Feasibility of At Home Telehealth Yoga for Treating Chronic Pain,NCCIH,9725320,1R34AT010364-01,1,R34,AT,10364,1,,,11814948,"BAYLEY, PETER J.",Not Applicable,PALO ALTO VETERANS INSTIT FOR RESEARCH, ,2019,218786,
Adolescents with Substance Use Disorders Transitioning from Residential Treatment to the Community: Improving Outcomes via a Computer Assisted Parenting Program,NIDA,9034960,1R34DA039289-01A1,1,R34,DA,39289,1,A1,,10569117,"BECKER, SARA J.",Not Applicable,BROWN UNIVERSITY, ,2016,221885,
Marijuana Use; Extinction Learning; and Exposure Therapy in Individuals with PTSD,NIDA,9110612,1R34DA040034-01A1,1,R34,DA,40034,1,A1,,8089016,"BEDARD-GILLIGAN, MICHELE A",Not Applicable,UNIVERSITY OF WASHINGTON, ,2016,179055,
Impact of aerobic exercise on aging brain in TBI,NIA,9824257,1R34AG061304-01A1,1,R34,AG,61304,1,A1,,1958963,"BELL, KATHLEEN R ","DING, KAN ;ZHANG, RONG ",UT SOUTHWESTERN MEDICAL CENTER, ,2019,325888,
Peer Wellness Enhancement for Patients with Serious Mental Illness and High Medical Costs,NIMH,9588014,1R34MH117188-01,1,R34,MH,117188,1,,,8886773,"BELLAMY, CHYRELL DENISE",Not Applicable,YALE UNIVERSITY, ,2018,330750,
Microeconomic Intervention to Reduce HIV Transmission in Economically Disadvantaged Transgender Women,NIMH,9481627,1R34MH115775-01,1,R34,MH,115775,1,,,3079622,"BENOTSCH, ERIC G ","ZIMMERMAN, RICK S.",VIRGINIA COMMONWEALTH UNIVERSITY, ,2018,137079,
A Patient Decision Aid to Augment Lethal Means Counseling for Suicidal Patients,NIMH,9362974,1R34MH113539-01,1,R34,MH,113539,1,,,10427078,"BETZ, MARIAN ELIZABETH",Not Applicable,UNIVERSITY OF COLORADO DENVER, ,2017,356320,
Using Digital Media Advertising to Reduce the Duration of Untreated Psychosis,NIMH,9825868,1R34MH120790-01,1,R34,MH,120790,1,,,11879170,"BIRNBAUM, MICHAEL LEO",Not Applicable,FEINSTEIN INSTITUTE FOR MEDICAL RESEARCH, ,2019,295652,
Developing a Patient Navigation Intervention for PrEP Continuum of Care among Young Latino MSM,NIMH,9410944,1R34MH114699-01,1,R34,MH,114699,1,,,10700615,"BLASHILL, AARON J ","WELLS, KRISTEN JENNIFER",SAN DIEGO STATE UNIVERSITY, ,2017,197751,
A targeted; real-time; technology-supported intervention for patients with alcohol use disorder on disulfiram,NIAAA,9538884,1R34AA026452-01A1,1,R34,AA,26452,1,A1,,14929896,"BLEVINS, CLAIRE  ","ABRANTES, ANA M.","BUTLER HOSPITAL (PROVIDENCE, RI)", ,2018,219904,
PILOT INTERVENTION TO EMPOWER HIV CLIENTS AS PREVENTION ADVOCATES IN UGANDA,NIMH,9205950,1R34MH111460-01,1,R34,MH,111460,1,,,2690675,"BOGART, LAURA M",Not Applicable,RAND CORPORATION, ,2016,242295,
Siempre Seguiré: A Pilot Intervention to Improve Coping with Discrimination and Adherence among HIV-Positive Latino MSM,NIMH,9407123,1R34MH113413-01A1,1,R34,MH,113413,1,A1,,2690675,"BOGART, LAURA M ","GALVAN, FRANK H",RAND CORPORATION, ,2017,194834,
Mopati: A Pilot HIV Treatment Partner Intervention in Botswana,NIMH,9846833,1R34MH121229-01,1,R34,MH,121229,1,,,2690675,"BOGART, LAURA M ","MOSEPELE, MOSEPELE ",RAND CORPORATION, ,2019,216735,
A social media intervention for high-intensity drinking in a national sample of emerging adults,NIAAA,9821010,1R34AA027272-01A1,1,R34,AA,27272,1,A1,,11044358,"BONAR, ERIN ELIZABETH",Not Applicable,UNIVERSITY OF MICHIGAN AT ANN ARBOR, ,2019,175500,
Social Media Intervention for Cannabis Use in Emerging Adults,NIDA,9430489,1R34DA045067-01,1,R34,DA,45067,1,,,11044358,"BONAR, ERIN ELIZABETH",Not Applicable,UNIVERSITY OF MICHIGAN AT ANN ARBOR, ,2018,234000,
Harnessing social media to reduce cannabis use among adolescents and emerging adults in an urban emergency department,NIDA,9502480,1R34DA045712-01,1,R34,DA,45712,1,,,11044358,"BONAR, ERIN ELIZABETH",Not Applicable,UNIVERSITY OF MICHIGAN AT ANN ARBOR, ,2018,195000,
Project PrEP-R: Network Support to Engage and Retain Younger Black MSM in PrEP Care,NIMH,9203952,1R34MH111392-01,1,R34,MH,111392,1,,,8963741,"BOURIS, ALIDA M",Not Applicable,UNIVERSITY OF CHICAGO, ,2016,197251,
Utilizing Augmented Reality as an Adjunct for Smoking Cessation: Development and Initial Validation,NIDA,9743415,1R34DA047598-01A1,1,R34,DA,47598,1,A1,,1883784,"BRANDON, THOMAS H. ","VINCI, CHRISTINE ",H. LEE MOFFITT CANCER CTR & RES INST, ,2019,258000,
Improving Medication Continuity among Adolescents with ADHD,NIMH,9505234,1R34MH112648-01A1,1,R34,MH,112648,1,A1,,8934295,"BRINKMAN, WILLIAM BERNARD",Not Applicable,CINCINNATI CHILDRENS HOSP MED CTR, ,2018,357750,
A Mobile Health Intervention in Pulmonary Arterial Hypertension,NHLBI,9299582,1R34HL136989-01,1,R34,HL,136989,1,,,10689890,"BRITTAIN, EVAN L",Not Applicable,VANDERBILT UNIVERSITY MEDICAL CENTER, ,2017,249004,
A Mobile Intervention to Improve Uptake of PrEP for Southern Black MSM,NIMH,9340915,1R34MH111342-01A1,1,R34,MH,111342,1,A1,,1897950,"BROWN, LARRY K ","MENA, LEANDRO ANTONIO",RHODE ISLAND HOSPITAL, ,2017,258711,
MySTYLE: Online family-based HIV prevention for non-heterosexual Black adolescent males in the South,NIMH,9477326,1R34MH113384-01A1,1,R34,MH,113384,1,A1,,1897950,"BROWN, LARRY K ","CROSBY, RICHARD A",RHODE ISLAND HOSPITAL, ,2017,265331,
