"","X.1","Project.Title","Administering..IC","Application.ID","Project.Number","Type","Activity","IC","Serial.Number","Support.Year","Suffix","Subproject.Number","Contact.PI..Person.ID","Contact.PI...Project.Leader","Other.PI.or.Project.Leader.s.","Organization.Name","ARRA.Indicator","FY","FY.Total.Cost","FY.Total.Cost...Sub.Projects.","X","Stats"
"1",6,"A novel approach to delivering therapeutics in heart transplantation","NHLBI",9828910,"1R01HL145813-01A1",1,"R01","HL",145813,1,"A1",NA,7387417,"ABDI, REZA ","Not Applicable","Brigham And Women's Hospital",NA,2019,692505,NA,NA,"Include"
"2",11,"The Oral Microbiome for the Detection of Barretts Esophagus","NCI",9834507,"1R01CA238433-01A1",1,"R01","CA",238433,1,"A1",NA,9047196,"ABRAMS, JULIAN ","Not Applicable","Columbia University Health Sciences",NA,2019,496127,NA,NA,"Include"
"3",12,"Atomic basis for chloride channel and transporter gating and selectivity","NIGMS",9687371,"1R01GM128420-01A1",1,"R01","GM",128420,1,"A1",NA,9234739,"ACCARDI, ALESSIO ","Not Applicable","Weill Medical Coll Of Cornell Univ",NA,2019,364882,NA,NA,"Include"
"4",14,"Modulating dietary zinc to prevent cachexia and improve survival in cancer","NCI",9736083,"1R01CA231239-01A1",1,"R01","CA",231239,1,"A1",NA,11264317,"ACHARYYA, SWARNALI ","Not Applicable","Columbia University Health Sciences",NA,2019,370575,NA,NA,"Include"
"5",15,"Characteristics and protective efficacy of human antibodies against M. tuberculosis","NIAID",9803227,"1R01AI146329-01",1,"R01","AI",146329,1,"",NA,8666804,"ACHKAR, JACQUELINE MICHELE","Not Applicable","Albert Einstein College Of Medicine, Inc",NA,2019,788818,NA,NA,"Include"
"6",17,"The Aqueous Humor Outflow Resistance","NEI",9726735,"1R01EY030238-01",1,"R01","EY",30238,1,"",NA,1859402,"ACOTT, TED S","Not Applicable","Oregon Health & Science University",NA,2019,385000,NA,NA,"Include"
"7",20,"Mechanisms of selective therapeutic synergy of PARP-inhibition and CTLA4 blockade engaged by interferon-gamma in the ovarian tumor microenvironment","NCI",9738695,"1R37CA229221-01A1",1,"R37","CA",229221,1,"A1",NA,9617704,"ADAMS, SARAH FOSTER","Not Applicable","University Of New Mexico Health Scis Ctr",NA,2019,361703,NA,NA,"Include"
"8",21,"Distress Tolerance and Smoking Cessation","NIDA",9801731,"1R01DA048948-01",1,"R01","DA",48948,1,"",NA,8324749,"ADDICOTT, MERIDETH A","Not Applicable","Univ Of Arkansas For Med Scis",NA,2019,356721,NA,NA,"Include"
"9",22,"Probing the specificity and activity of the metazoan Integrator complex","NIGMS",9829256,"1R01GM134539-01",1,"R01","GM",134539,1,"",NA,6578994,"ADELMAN, KAREN L ","WAGNER, ERIC J","Harvard Medical School",NA,2019,672280,NA,NA,"Include"
"10",28,"A phase I/II combination immunotherapy clinical trial: mesothelin-targeted chimeric antigen receptor T cells and checkpoint blockade agent in pleural mesothelioma","NCI",9819227,"1R01CA235667-01A1",1,"R01","CA",235667,1,"A1",NA,9350036,"ADUSUMILLI, PRASAD S. ","ZAUDERER, MARJORIE G.","Sloan-Kettering Inst Can Research",NA,2019,727344,NA,NA,"Include"
