"","Project.Title","Administering..IC","Application.ID","Project.Number","Type","Activity","IC","Serial.Number","Support.Year","Suffix","Subproject.Number","Contact.PI..Person.ID","Contact.PI...Project.Leader","Other.PI.or.Project.Leader.s.","Organization.Name","ARRA.Indicator","FY","FY.Total.Cost","FY.Total.Cost...Sub.Projects.","Stats"
"1","Novel platform linking cancer-specific glycosylation with cell signaling outcomes","NCI",9572744,"1R21CA229044-01",1,"R21","CA",229044,1,"",NA,8307907,"ABBOTT, KAREN L.","Not Applicable","Univ Of Arkansas For Med Scis",NA,2018,225250,NA,"Include"
"2","Control of bone homeostasis by MT1-MMP signaling","NIAMS",9109326,"1R21AR069240-01A1",1,"R21","AR",69240,1,"A1",NA,6606648,"ABRAMSON, STEVEN B","Not Applicable","New York University School Of Medicine",NA,2016,222600,NA,"Include"
"3","A Tailored Physical Activity Smartphone App for Patients with Alcohol Dependence","NIAAA",9112077,"1R21AA024295-01A1",1,"R21","AA",24295,1,"A1",NA,7384645,"ABRANTES, ANA M.","Not Applicable","Butler Hospital (Providence, Ri)",NA,2016,254704,NA,"Include"
"4","Roles of Synaptotagmin-2 in Airway Obstruction","NIAID",9599358,"1R21AI137319-01A1",1,"R21","AI",137319,1,"A1",NA,8612199,"ADACHI, ROBERTO ","Not Applicable","University Of Tx Md Anderson Can Ctr",NA,2018,240000,NA,"Include"
"5","Transcriptomic and epigenetic regulators of Drosophila heart aging","NIA",9669704,"1R21AG058075-01A1",1,"R21","AG",58075,1,"A1",NA,6483311,"ADAMS, PETER D.","Not Applicable","Sanford Burnham Prebys Medical Discovery Institute",NA,2019,292500,NA,"Include"
"6","The Role of Humectants and Flavor on Microbial Growth in Waterpipe Tobacco","NCI",9868556,"1R21CA244305-01",1,"R21","CA",244305,1,"",NA,14594714,"ADETONA, ANNA MARIE","Not Applicable","Battelle Centers/Pub Hlth Res & Evaluatn",NA,2019,253721,NA,"Include"
"7","Test if antitumor T cells use a putative super-enhancer in the Il1rl2-Il1rl1 intergenic region to form 'innate-like' responses to cytokines","NIAID",9585298,"1R21AI139891-01",1,"R21","AI",139891,1,"",NA,1945760,"ADLER, ADAM J ","VELLA, ANTHONY T","University Of Connecticut Sch Of Med/Dnt",NA,2018,199375,NA,"Include"
"8","Cytosolic mRNA Uridylation in Trypanosoma brucei","NIAID",9226222,"1R21AI128189-01",1,"R21","AI",128189,1,"",NA,7690947,"AFASIZHEV, RUSLAN ","Not Applicable","Boston University Medical Campus",NA,2017,205625,NA,"Include"
"9","Defining the Mechanism of Altered Very Long Chain Fatty Acid Metabolism in Neuro-Ichthyotic Disorders.","NIAMS",9809522,"1R21AR076035-01",1,"R21","AR",76035,1,"",NA,9714048,"AGBAGA, MARTIN-PAUL ","Not Applicable","University Of Oklahoma Hlth Sciences Ctr",NA,2019,191400,NA,"Include"
"10","Behavioral and cell-based complementary screens to identify druggable targets modulating tau protein levels","NINDS",9090801,"1R21NS096395-01",1,"R21","NS",96395,1,"",NA,10192713,"AL-RAMAHI, ISMAEL ","Not Applicable","Baylor College Of Medicine",NA,2016,237750,NA,"Include"
"11","Intestinal Immune Response in Myalgic Encephalomyelitis/Chronic Fatigue Syndrome","NIAID",9021859,"1R21AI121996-01",1,"R21","AI",121996,1,"",NA,7371669,"ALAEDINI, ARMIN ","Not Applicable","Columbia University Health Sciences",NA,2016,200000,NA,"Include"
"12","Mechanism and Function of Arc Palmitoylation","NIMH",9128137,"1R21MH110223-01",1,"R21","MH",110223,1,"",NA,1932027,"ALBANESI, JOSEPH P ","HUBER, KIMBERLY ","Ut Southwestern Medical Center",NA,2016,242563,NA,"Include"
"13","Assessing disaster related stressors and resiliency factors in a criminal justice population","NIDA",9686051,"1R21DA048394-01",1,"R21","DA",48394,1,"",NA,7106291,"ALBIZU-GARCIA, CARMEN E.","Not Applicable","University Of Puerto Rico Med Sciences",NA,2018,218729,NA,"Include"
"14","Surfactant Protein-A as a biomarker to predict development of NEC in infants","NICHD",9436924,"1R21HD094069-01",1,"R21","HD",94069,1,"",NA,1899591,"ALCORN, JOSEPH L","Not Applicable","University Of Texas Hlth Sci Ctr Houston",NA,2018,231000,NA,"Include"
"15","Anticoagulant Use; Safety; and Effectiveness for Ischemic Stroke Prevention in Nursing Home Residents with Atrial Fibrillation","NIA",9584915,"1R21AG060529-01",1,"R21","AG",60529,1,"",NA,14346858,"ALCUSKY, MATTHEW ","Not Applicable","Univ Of Massachusetts Med Sch Worcester",NA,2018,251250,NA,"Include"
"16","Regulation of avidity in T lymphocytes","NIAID",9039367,"1R21AI122330-01",1,"R21","AI",122330,1,"",NA,1946193,"ALEXANDER-MILLER, MARTHA ANN","Not Applicable","Wake Forest University Health Sciences",NA,2016,229390,NA,"Include"
"17","Inhibition of the CMG Helicase as Novel Anti-Neoplastic Approach","NCI",8993839,"1R21CA187513-01A1",1,"R21","CA",187513,1,"A1",NA,8524439,"ALEXANDROW, MARK G","Not Applicable","H. Lee Moffitt Cancer Ctr & Res Inst",NA,2016,219893,NA,"Include"
"18","Integrating AAT into TF-CBT for Maltreated Youth: A Randomized Feasibility Trial","NICHD",9322640,"1R21HD091887-01",1,"R21","HD",91887,1,"",NA,10512420,"ALLEN, BRIAN J","Not Applicable","Pennsylvania State Univ Hershey Med Ctr",NA,2017,233031,NA,"Include"
"19","Investigating Translational De-repression as a Mechanism to Increase Progranulin Levels in iPSC-derived Patient Neurons","NINDS",9807947,"1R21NS112766-01",1,"R21","NS",112766,1,"",NA,12672600,"ALMEIDA, SANDRA ","Not Applicable","Univ Of Massachusetts Med Sch Worcester",NA,2019,460625,NA,"Include"
"20","Gustatory Receptors sense RNA and ribonucleic acid metabolites as nutrients and signaling molecules during rapid growth","NIDCD",9090249,"1R21DC015327-01",1,"R21","DC",15327,1,"",NA,6091077,"AMREIN, HUBERT O","Not Applicable","Texas A&M University Health Science Ctr",NA,2016,185625,NA,"Include"
"21","Cardiac Dysfunction in Epileptogenesis","NINDS",9746435,"1R21NS104665-01A1",1,"R21","NS",104665,1,"A1",NA,7354344,"ANDERSON, ANNE E","Not Applicable","Baylor College Of Medicine",NA,2019,439250,NA,"Include"
"22","Deaf ACCESS: Adapting Consent through Community Engagement and State-of-the-art Simulation","NIDCD",9167573,"1R21DC015580-01",1,"R21","DC",15580,1,"",NA,12108902,"ANDERSON, MELISSA LEE","Not Applicable","Univ Of Massachusetts Med Sch Worcester",NA,2016,267127,NA,"Include"
"23","Defining the molecular mechanisms of MacAB in protection of Salmonella from oxidative stress","NIAID",9092827,"1R21AI123965-01",1,"R21","AI",123965,1,"",NA,1928026,"ANDREWS-POLYMENIS, HELENE L","Not Applicable","Texas A&M University Health Science Ctr",NA,2016,222750,NA,"Include"
"24","Enzymatic Tools for 2D Tissue Localized and Deeper Proteomic Sequencing of Cancer Stromal Proteins","NCI",9794266,"1R21CA240148-01",1,"R21","CA",240148,1,"",NA,9178816,"ANGEL, PEGGY M","Not Applicable","Medical University Of South Carolina",NA,2019,240149,NA,"Include"
"25","Connexin Channels in Human Neurons","NIMH",9035045,"1R21MH104775-01A1",1,"R21","MH",104775,1,"A1",NA,1890453,"ANTIC, SRDJAN D","Not Applicable","University Of Connecticut Sch Of Med/Dnt",NA,2016,235950,NA,"Include"
"26","Electrical Field and Neuroimaging Based Prediction of ECT Induced Clinical and Cognitive Effects","NIMH",9727425,"1R21MH119616-01",1,"R21","MH",119616,1,"",NA,12167440,"ARGYELAN, MIKLOS ","Not Applicable","Feinstein Institute For Medical Research",NA,2019,206250,NA,"Include"
"27","Biological aging in older HIV-infected African Americans","NIA",9411433,"1R21AG056175-01A1",1,"R21","AG",56175,1,"A1",NA,1906731,"ARPADI, STEPHEN M ","YIN, MICHAEL T","Columbia University Health Sciences",NA,2017,200000,NA,"Include"
"28","Microbiota-dependent regulation of the gut-brain axis","NIAID",9652387,"1R21AI142213-01",1,"R21","AI",142213,1,"",NA,7854554,"ARTIS, DAVID ","Not Applicable","Weill Medical Coll Of Cornell Univ",NA,2019,254250,NA,"Include"
"29","Genetic Susceptibility to Manganese Neurotoxicity","NIEHS",9033427,"1R21ES025415-01A1",1,"R21","ES",25415,1,"A1",NA,1889672,"ASCHNER, MICHAEL ","Not Applicable","Albert Einstein College Of Medicine, Inc",NA,2016,208750,NA,"Include"
"30","Automated Assessment of Cognitive Tests for Detecting Mild Cognitive Impairment","NIA",9297093,"1R21AG055749-01",1,"R21","AG",55749,1,"",NA,14483143,"ASGARI, MEYSAM ","Not Applicable","Oregon Health & Science University",NA,2017,184739,NA,"Include"
"31","Sex-Specific Differences in the Development of Anthracycline Cardiotoxicity","NHLBI",9807585,"1R21HL148748-01",1,"R21","HL",148748,1,"",NA,11707313,"ASNANI, AARTI ","Not Applicable","Beth Israel Deaconess Medical Center",NA,2019,258750,NA,"Include"
"32","Development of Multi-Compartment MR-Fingerprinting for Subvoxel Estimation of Quantitative Tissue Biomarkers","NIBIB",9825278,"1R21EB027241-01A1",1,"R21","EB",27241,1,"A1",NA,14454041,"ASSLAENDER, JAKOB  ","KNOLL, FLORIAN ","New York University School Of Medicine",NA,2019,209851,NA,"Include"
"33","Impact of Traumatic Brain Injury on Brain Aging and Dementia","NICHD",9172848,"1R21HD089088-01",1,"R21","HD",89088,1,"",NA,8624912,"AU, RHODA  ","GRAFMAN, JORDAN HENRY;MCCLEAN, MICHAEL D","Boston University Medical Campus",NA,2016,194854,NA,"Include"
"34","Novel eMedicine Self-Management Program for Youth with Mild Traumatic Brain Injury","NICHD",9387018,"1R21HD087844-01A1",1,"R21","HD",87844,1,"A1",NA,8636599,"BABCOCK, LYNN  ","WADE, SHARI L","Cincinnati Childrens Hosp Med Ctr",NA,2017,213654,NA,"Include"
"35","Radiolabeled FASN Inhibitors for PET Imaging","NCI",9228756,"1R21CA213157-01",1,"R21","CA",213157,1,"",NA,8058092,"BABICH, JOHN W","Not Applicable","Weill Medical Coll Of Cornell Univ",NA,2017,229013,NA,"Include"
"36","Sentanyl: Emergency Department-Based Surveillance for Clandestine Opioids","NIDA",9585157,"1R21DA046734-01",1,"R21","DA",46734,1,"",NA,8351160,"BABU, KAVITA M","Not Applicable","Univ Of Massachusetts Med Sch Worcester",NA,2018,241924,NA,"Include"
"37","Epigenetic targeting of LSD1 for OSCC Therapy","NIDCR",9601391,"1R21DE026892-01A1",1,"R21","DE",26892,1,"A1",NA,10344117,"BAIS, MANISH ","Not Applicable","Boston University Medical Campus",NA,2018,247500,NA,"Include"
"38","Epigenetic Markers for Neonatal Abstinence Syndrome: Mechanistic Insights from an Established Birth Cohort","NICHD",9539129,"1R21HD090733-01A1",1,"R21","HD",90733,1,"A1",NA,10370790,"BAKHIREVA, LUDMILA NICOLE ","MIRANDA, RAJESH C","University Of New Mexico Health Scis Ctr",NA,2018,237949,NA,"Include"
"39","Preclinical Development of a Multivalent Tularemia Vaccine","NIAID",9181127,"1R21AI122108-01A1",1,"R21","AI",122108,1,"A1",NA,9048253,"BAKSHI, CHANDRA SHEKHAR ","Not Applicable","New York Medical College",NA,2016,246250,NA,"Include"
"40","Ecdysoneless; A Novel Regulator of Androgen Receptor","NCI",9809834,"1R21CA241055-01",1,"R21","CA",241055,1,"",NA,1881011,"BAND, VIMLA ","Not Applicable","University Of Nebraska Medical Center",NA,2019,206907,NA,"Include"
"41","Bayesian learning algorithms for identifying and classifying heterogeneity of cell types in variety of solid tumors","NCI",9603869,"1R21CA231892-01",1,"R21","CA",231892,1,"",NA,14074448,"BANERJEE, ANJISHNU ","Not Applicable","Medical College Of Wisconsin",NA,2018,167475,NA,"Include"
"42","Second generation MIBG analogs that cotarget DNA for high risk neuroblastoma","NCI",9014813,"1R21CA187548-01A1",1,"R21","CA",187548,1,"A1",NA,1942275,"BARANOWSKA-KORTYLEWICZ, JANINA ","Not Applicable","University Of Nebraska Medical Center",NA,2016,196403,NA,"Include"
"43","Targeting type I interferon production in TB infection.","NIAID",9529981,"1R21AI133309-01A1",1,"R21","AI",133309,1,"A1",NA,9352264,"BARCZAK, AMY K","Not Applicable","Massachusetts General Hospital",NA,2018,210625,NA,"Include"
