"","Project.Title","Administering..IC","Application.ID","Project.Number","Type","Activity","IC","Serial.Number","Support.Year","Suffix","Subproject.Number","Contact.PI..Person.ID","Contact.PI...Project.Leader","Other.PI.or.Project.Leader.s.","Organization.Name","ARRA.Indicator","FY","FY.Total.Cost","FY.Total.Cost...Sub.Projects.","Stats"
"1","Role of macrophages in pancreatic islet graft rejection","NIDDK",8581263,"1K01DK097194-01A1",1,"K01","DK",97194,1,"A1",NA,8723487,"ABDULREDA, MIDHAT H","Not Applicable","University Of Miami School Of Medicine",NA,2013,138305,NA,"Include"
"2","Inflammation; muscle wasting; and physical function in chronic kidney disease","NIDDK",8700915,"1K23DK099438-01A1",1,"K23","DK",99438,1,"A1",NA,9294191,"ABRAMOWITZ, MATTHEW K","Not Applicable","Albert Einstein College Of Medicine",NA,2014,184674,NA,"Include"
"3","BEX1 and the control of protein translation in cardiac hypertrophy","NHLBI",8616925,"1K99HL121284-01",1,"K99","HL",121284,1,"",NA,11676241,"ACCORNERO, FEDERICA ","Not Applicable","Cincinnati Childrens Hosp Med Ctr",NA,2014,131085,NA,"Include"
"4","Defining mechanisms of cancer chemoresistance and metastasis","NCI",8425810,"1K99CA172697-01",1,"K99","CA",172697,1,"",NA,11264317,"ACHARYYA, SWARNALI ","Not Applicable","Sloan-Kettering Inst Can Research",NA,2013,158535,NA,"Include"
"5","M-Health Tools to Enhance Treatment of Teen Substance Abuse and Mental Illness","NIDA",8890616,"1K23DA038257-01A1",1,"K23","DA",38257,1,"A1",NA,10102038,"ADAMS, ZACHARY WILLIAM","Not Applicable","Medical University Of South Carolina",NA,2015,174685,NA,"Include"
"6","Computational Tools for the Analysis of MRI Images in Type-1 Diabetes","NIDDK",8966899,"1K01DK101631-01A1",1,"K01","DK",101631,1,"A1",NA,11765958,"AGANJ, IMAN ","Not Applicable","Massachusetts General Hospital",NA,2015,160692,NA,"Include"
"7","Molecular Basis of Autosomal Dominant Hypercholesterolemia in a Multiethnic Cohor","NHLBI",8510142,"1K23HL114884-01A1",1,"K23","HL",114884,1,"A1",NA,9555774,"AHMAD, ZAHID ","Not Applicable","Ut Southwestern Medical Center",NA,2013,155250,NA,"Include"
"8","Decreasing Interruptions and Losses from HIV Care in Nigeria","NIAID",8541357,"1K23AI106406-01",1,"K23","AI",106406,1,"",NA,10906918,"AHONKHAI, AIMALOHI ","Not Applicable","Massachusetts General Hospital",NA,2013,185211,NA,"Include"
"9","The role of DNA damage response signaling in chronic kidney disease","NIDDK",8567659,"1K99DK099434-01",1,"K99","DK",99434,1,"",NA,11591538,"AIRIK, RANNAR ","Not Applicable","Boston Children's Hospital",NA,2013,90000,NA,"Include"
"10","CC Chemokine-Mediated Differential Immunoregulation by Human Eosinophils","NHLBI",8764314,"1K08HL116429-01A1",1,"K08","HL",116429,1,"A1",NA,9412153,"AKUTHOTA, PRAVEEN ","Not Applicable","Beth Israel Deaconess Medical Center",NA,2014,129870,NA,"Include"
"11","Social Networks of Youth who Misuse Prescription Opioids and Risk for HIV/HCV","NIDA",8731467,"1K01DA036452-01A1",1,"K01","DA",36452,1,"A1",NA,10378779,"AL-TAYYIB, ALIA ","Not Applicable","Denver Health And Hospital Authority",NA,2014,151618,NA,"Include"
"12","Targeting defective DNA repair for the prevention of BRCA1-associated cancers","NCI",8618122,"1K22CA181550-01",1,"K22","CA",181550,1,"",NA,8892123,"ALLI, ELIZABETH ","Not Applicable","Wake Forest University Health Sciences",NA,2015,162000,NA,"Include"
"13","Safety and Effectiveness of Metformin Therapy in Patients with Type 2 Diabetes an","NIDDK",8677514,"1K08DK101602-01",1,"K08","DK",101602,1,"",NA,10333459,"ALVAREZ, CARLOS A","Not Applicable","Texas Tech University Health Scis Center",NA,2014,131040,NA,"Include"
"14","Optimizing measures of subjective and objective decline in preclinical AD","NIA",8699879,"1K23AG044431-01A1",1,"K23","AG",44431,1,"A1",NA,10864920,"AMARIGLIO, REBECCA E","Not Applicable","Brigham And Women's Hospital",NA,2014,136081,NA,"Include"
"15","Medullary Circuitry Regulating Slow-Wave-Sleep","NIMH",8678157,"1K99MH103399-01",1,"K99","MH",103399,1,"",NA,11212694,"ANACLET, CHRISTELLE ","Not Applicable","Beth Israel Deaconess Medical Center",NA,2014,83371,NA,"Include"
"16","Improving healthcare quality with user-centric patient portals","AHRQ",8352831,"1K01HS021531-01",1,"K01","HS",21531,1,"",NA,9569355,"ANCKER, JESSICA S.","Not Applicable","Weill Medical Coll Of Cornell Univ",NA,2013,151549,NA,"Include"
"17","Genetic Analyses of Lipids in Cerebral Hemorrhage and Small Vessel Disease","NINDS",8677019,"1K23NS086873-01",1,"K23","NS",86873,1,"",NA,11454750,"ANDERSON, CHRISTOPHER DAVID","Not Applicable","Massachusetts General Hospital",NA,2014,190648,NA,"Include"
"18","Age-related Changes in Thoracic Spine Biomechanics","NIA",8580757,"1K99AG042458-01A1",1,"K99","AG",42458,1,"A1",NA,8838835,"ANDERSON, DENNIS ","Not Applicable","Beth Israel Deaconess Medical Center",NA,2013,90000,NA,"Include"
"19","Network Models for Evaluating HIV-associated MDR TB transmission and control","NIAID",8466080,"1K01AI104411-01",1,"K01","AI",104411,1,"",NA,10518018,"ANDREWS, JASON RANDOLPH","Not Applicable","Massachusetts General Hospital",NA,2013,50036,NA,"Include"
"20","Quantify treatment response in IDH1 mutant glioma patients with metabolic MRI","NCI",8568002,"1K22CA178269-01",1,"K22","CA",178269,1,"",NA,8932532,"ANDRONESI, OVIDIU C","Not Applicable","Massachusetts General Hospital",NA,2013,200552,NA,"Include"
"21","Career Development and Mentoring in Clinical/Translational Alcohol Research","NIAAA",8509462,"2K05AA017435-06",2,"K05","AA",17435,6,"",NA,1869389,"ANTON, RAYMOND F","Not Applicable","Medical University Of South Carolina",NA,2013,216225,NA,"Include"
"22","Endoplasmic Reticulum Mitochondrial membranes in Alzheimer's disease","NIA",8767203,"1K01AG045335-01A1",1,"K01","AG",45335,1,"A1",NA,11562751,"AREA GOMEZ, ESTELA ","Not Applicable","Columbia University Health Sciences",NA,2014,113379,NA,"Include"
"23","Use of the goat model to test human Brucella vaccines in Argentina","FIC",8814343,"1K01TW009981-01",1,"K01","TW",9981,1,"",NA,11207201,"ARENAS, ANGELA ","Not Applicable","Texas A&M University Health Science Ctr",NA,2014,134077,NA,"Include"
"24","Demographics Causes and Consequences of B Cell Repertoire Diversity","NIAID",8805341,"1K08AI114958-01",1,"K08","AI",114958,1,"",NA,9758264,"ARNAOUT, RAMY ","Not Applicable","Beth Israel Deaconess Medical Center",NA,2015,177444,NA,"Include"
