"","Issue.Date.Fiscal.Year","OPDIV","Recipient.Name","Recipient.Address","Recipient.City","Recipient.State","Recipient.ZIP.Code","DUNS.Number","Recipient.Class","Recipient.Type","Award.Number","Award.Title","Award.Code","Award.Class","Contact.PI..Person.Name","Sum.of.Actions","Stats","Organization.Name"
"1","2019","CDC","DENVER HEALTH & HOSPITAL AUTHORITY","777 Bannock Street","DENVER","CO",802044507,93564180,"Non-Profit Private Non-Government Organizations","Hospital","R01CE003006","Linkage navigation to enhance initiation and engagement in treatment for opioid use disorder to prevent overdose.",0,"DISCRETIONARY","ALIA AL-TAYYIB","$747,531 ","Include","Denver Health & Hospital Authority"
"2","2019","CDC","EMMA PENDLETON BRADLEY HOSPITAL","1011 VETERANS MEMORIAL PARKWAY","RIVERSIDE","RI",29155061,75706176,"Non-Profit Private Non-Government Organizations","Hospital","R01CE003103","Embedding Mental Health Consultation Within Prenatal Home Visiting to Prevent Child Maltreatment and Violence Exposure",0,"DISCRETIONARY","STEPHANIE H PARADE","$350,000 ","Include","Emma Pendleton Bradley Hospital"
"3","2019","CDC","RHODE ISLAND HOSPITAL","593 EDDY ST, ALDRICH 317","PROVIDENCE","RI",29034923,75710996,"Non-Profit Private Non-Government Organizations","Hospital","R01CE003149","Implementing statewide emergency department care pathways for addiction recovery after opioid overdose",0,"DISCRETIONARY","FRANCESCA BEAUDOIN","$767,604 ","Include","Rhode Island Hospital"
"4","2019","CDC","BRIGHAM & WOMEN`S HOSPITAL","10 VINING STREET","BOSTON","MA",21156114,30811269,"Non-Profit Private Non-Government Organizations","Hospital","R01CE003153","Engaging clinicians to improve opioid safety and reduce overdose risk",0,"DISCRETIONARY","MICHAEL FISCHER","$769,081 ","Include","Brigham & Women`S Hospital"
"5","2019","CDC","NEW YORK UNIVERSITY MEDICAL CENTER","550 1ST AVE, SC-2 KIPS BAY BG","NEW YORK","NY",10016,121911077,"Non-Profit Private Non-Government Organizations","Hospital","R01CE003154","Randomized Controlled Trial of Relay- NYC's Nonfatal Overdose Response Program",0,"DISCRETIONARY","KELLY DORAN","$768,830 ","Include","New York University Medical Center"
"6","2019","AHRQ","VANDERBILT UNIVERSITY MEDICAL CENTER","1161 21ST AVE S STE D3300 MCN","NASHVILLE","TN",372320011,79917897,"State Government","Junior College, College & University","R01HS025976","Implications of Provider Network Design for Access, Affordability and Competition in Health Insurance",0,"DISCRETIONARY","JOHN A GRAVES","$0 ","Include","Vanderbilt University Medical Center"
"7","2019","AHRQ","UNIVERSITY OF KANSAS MEDICAL CENTER RESEARCH INSTITUTE","3901 RAINBOW BOULEVARD","KANSAS CITY","KS",661600003,16060860,"Private Profit ( Small Business ) Organizations","Research Institution, Foundation and Laboratory","R01HS026134","Effects of Patient Turnover on Nursing Care and Patient Outcomes in Acute Care Hospital Settings",0,"DISCRETIONARY","SHIN HYE PARK","$206,190 ","Include","University Of Kansas Medical Center Research Institute"
"8","2019","AHRQ","CHILDREN'S HOSPITAL CORPORATION","300 LONGWOOD AVENUE","BOSTON","MA",21155724,76593722,"Non-Profit Private Non-Government Organizations","Hospital","R01HS026246","Patient Safety Event Surveillance Using Machine Learning and Free Text Clinical Notes",0,"DISCRETIONARY","AL OZONOFF","$397,831 ","Include","Children's Hospital Corporation"
"9","2019","AHRQ","OREGON HEALTH & SCIENCE UNIVERSITY","3181 SW SAM JACKSON PARK ROAD","PORTLAND","OR",972013098,96997515,"State Government","Junior College, College & University","R01HS026457","Spillover Effects of Comprehensive Care for Joint Replacement (CJR) model",0,"DISCRETIONARY","HYUNJEE KIM","$378,159 ","Include","Oregon Health & Science University"
"10","2019","AHRQ","HARVARD UNIVERSITY MEDICAL SCHOOL","643 HUNTINGTON AVENUE","BOSTON","MA",2115,47006379,"Non-Profit Private Non-Government Organizations","Junior College, College & University","R01HS026753","Prescribing of opioids at hospital discharge and associated adverse patient outcomes",0,"DISCRETIONARY","ANUPAM B JENA","$397,642 ","Include","Harvard University Medical School"
