NIHID	NAME	Organization	Project.Title	FY	Activity	Award Category	Source	Other.PI.or.Project.Leader.s.	Project.Number	ARRA.Indicator	FY.Total.Cost	FY.Total.Cost...Sub.Projects.	Stats	Administering..IC	Application.ID	Type	IC	Serial.Number	Support.Year	Suffix	Subproject.Number
7387417	"ABDI, REZA "	Brigham And Women's Hospital	A novel approach to delivering therapeutics in heart transplantation	2019	R01	R01Equiv	NIH	Not Applicable	1R01HL145813-01A1	NA	692505	NA	Include	NHLBI	9828910	1	HL	145813	1	A1	NA
9047196	"ABRAMS, JULIAN "	Columbia University Health Sciences	The Oral Microbiome for the Detection of Barretts Esophagus	2019	R01	R01Equiv	NIH	Not Applicable	1R01CA238433-01A1	NA	496127	NA	Include	NCI	9834507	1	CA	238433	1	A1	NA
9234739	"ACCARDI, ALESSIO "	Weill Medical Coll Of Cornell Univ	Atomic basis for chloride channel and transporter gating and selectivity	2019	R01	R01Equiv	NIH	Not Applicable	1R01GM128420-01A1	NA	364882	NA	Include	NIGMS	9687371	1	GM	128420	1	A1	NA
11264317	"ACHARYYA, SWARNALI "	Columbia University Health Sciences	Modulating dietary zinc to prevent cachexia and improve survival in cancer	2019	R01	R01Equiv	NIH	Not Applicable	1R01CA231239-01A1	NA	370575	NA	Include	NCI	9736083	1	CA	231239	1	A1	NA
8666804	"ACHKAR, JACQUELINE MICHELE"	"Albert Einstein College Of Medicine, Inc"	Characteristics and protective efficacy of human antibodies against M. tuberculosis	2019	R01	R01Equiv	NIH	Not Applicable	1R01AI146329-01	NA	788818	NA	Include	NIAID	9803227	1	AI	146329	1		NA
1859402	"ACOTT, TED S"	Oregon Health & Science University	The Aqueous Humor Outflow Resistance	2019	R01	R01Equiv	NIH	Not Applicable	1R01EY030238-01	NA	385000	NA	Include	NEI	9726735	1	EY	30238	1		NA
9617704	"ADAMS, SARAH FOSTER"	University Of New Mexico Health Scis Ctr	Mechanisms of selective therapeutic synergy of PARP-inhibition and CTLA4 blockade engaged by interferon-gamma in the ovarian tumor microenvironment	2019	R37	R01Equiv	NIH	Not Applicable	1R37CA229221-01A1	NA	361703	NA	Include	NCI	9738695	1	CA	229221	1	A1	NA
8324749	"ADDICOTT, MERIDETH A"	Univ Of Arkansas For Med Scis	Distress Tolerance and Smoking Cessation	2019	R01	R01Equiv	NIH	Not Applicable	1R01DA048948-01	NA	356721	NA	Include	NIDA	9801731	1	DA	48948	1		NA
6578994	"ADELMAN, KAREN L "	Harvard Medical School	Probing the specificity and activity of the metazoan Integrator complex	2019	R01	R01Equiv	NIH	"WAGNER, ERIC J"	1R01GM134539-01	NA	672280	NA	Include	NIGMS	9829256	1	GM	134539	1		NA
9350036	"ADUSUMILLI, PRASAD S. "	Sloan-Kettering Inst Can Research	A phase I/II combination immunotherapy clinical trial: mesothelin-targeted chimeric antigen receptor T cells and checkpoint blockade agent in pleural mesothelioma	2019	R01	R01Equiv	NIH	"ZAUDERER, MARJORIE G."	1R01CA235667-01A1	NA	727344	NA	Include	NCI	9819227	1	CA	235667	1	A1	NA
