Name,URL1,URL2,URL3,URL4,URL5
"Abdi, Reza Brigham And Women's Hospital",https://physiciandirectory.brighamandwomens.org/Custom/Photos/hires/1.jpg,http://d7f1siy13ga1e.cloudfront.net/wp-content/uploads/2016/11/28141004/Reza-photo-with-Renys-011.jpg,https://researchfaculty.brighamandwomens.org/ProfilePhotos/10.jpg,https://i1.wp.com/bwhclinicalandresearchnews.org/wp-content/uploads/2017/09/rezaabdi-e1504813453977.jpg?fit=837%2C606&ssl=1,https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=10154128824273741
"Abrams, Julian Columbia University Health Sciences",https://cancer.columbia.edu/sites/hiccc.columbia.edu/files/styles/medium/public/cups/jabrams.jpg?itok=QOxrHUXF,http://www.cumc.columbia.edu/pulmonary/sites/default/files/dimango2.png,https://www.mailman.columbia.edu/sites/default/files/styles/medium_262x317/public/jpg/ab4303_Andrea_Baccarelli_Headshot.jpg?itok=sRYBDW3Q,https://www.mailman.columbia.edu/sites/default/files/styles/medium_262x317/public/jpg/eja1_3_Elaine-Abrams-1.jpg?itok=KdGvfFmN,https://www.mailman.columbia.edu/sites/default/files/styles/medium_262x317/public/jpg/akb2188_boehme_amelia.jpg?itok=vQLlZHFO
"Accardi, Alessio Weill Medical Coll Of Cornell Univ",,,,,
"Acharyya, Swarnali Columbia University Health Sciences",https://icg.cpmc.columbia.edu/sites/default/files/swarnali-group.jpg,https://i.ytimg.com/vi/J8E-5ltwZDc/maxresdefault.jpg,https://psscra.org/content/uploads/2019/05/Acharyya-headshot_resized-1.jpg,https://psscra.org/content/uploads/2019/05/Acharyya-action-shot-4-1024x684.jpg,https://psscra.org/content/uploads/2019/05/Acharyya-action-shot-5-1024x684.jpg
"Achkar, Jacqueline MicheleAlbert Einstein College Of Medicine, Inc",http://www.einstein.yu.edu/images/faculty/profiles/10390-jacqueline-achkar.jpg,https://www.einstein.yu.edu/uploadedImages/centers/global-health/middle-images/guatemala.jpg,https://www.einstein.yu.edu/images/faculty/profiles/7356-ira-abbott-iii.jpg,https://ecdn.evensi.com/e294095452?cph=gAAAAABdPEQLs72gVtV0DwURnFOttRMNxDiHvcnijAoZGeLDUMs6p4-we2wzZEGCSocq6_SgZARKGloIu3Wd6Cy_iWavqNV4sS1tnQsSR0hjVfu6d8S8si-O99gTPwXSnLCggystkdOvcFD8I9Ukxq9O2ZJlXNPt_RcMItbI9EOJqbah9PCJDChFc7-y7FPI6eF6L8QSQRXrrYu9fn53S8SrKkHpsl3Kx1kxYk7qLt3u1e4Bf4ONfctwN_xs5a8p0sjkK-nYeM6lZTvJB2QGP06pImXEjU5G0MUaLlnBDZJ6xW4aHnCL2e99AWQpFmaSx44kWO23iBKR30dAGfjDu5rfjDfY1XRABw==,x-raw-image:///27ff9553c8e8d25610a47173dbe47ca7db07e152a23ea4f80ecea5210f699911
"Acott, Ted SOregon Health & Science University",https://www.massingenuity.com/wp-content/uploads/2017/10/Harra-Scott_013_LinkedIn.jpg,https://d2eehagpk5cl65.cloudfront.net/img/q60/uploads/assets/mc/2017_05/TedWheeler_428x321.jpg,https://advancelocal-adapter-image-uploads.s3.amazonaws.com/image.oregonlive.com/home/olive-media/width2048/img/politics_impact/photo/wheelerjpg-5a5be225dfbbdf19.jpg,https://www.leadingauthorities.com/uploads/8/c/1/2/c/9/8c12c9ab8b4972d719795bde50db1df1/scott-lee-speaker.original.jpg,https://www.oregonmetro.gov/sites/default/files/styles/content/public/2018/05/15/Andrew%20Web%20Pic.jpg?itok=xFR30Wfz
"Adams, Sarah FosterUniversity Of New Mexico Health Scis Ctr",https://cdn.prod-carehubs.net/n1/2cd71a4f8310517e/uploads/2017/01/Adams-w-34673.jpg,https://cdn.prod-carehubs.net/n1/2cd71a4f8310517e/uploads/2018/01/Adams-Lab-Members.jpg,https://health.okstate.edu/site-files/images/diagnostic-radiology/radiologydept.jpg,https://cyberleninka.org/viewer_images/1351067/f/1.png,http://physics.wooster.edu/talks/talksposters/Colloquium2_Summer.png
"Addicott, Merideth AUniv Of Arkansas For Med Scis",https://psychiatry.uams.edu/wp-content/uploads/sites/120/2018/01/Addicott1.jpg,https://news.uams.edu/wp-content/uploads/2019/10/Addicott1-web-400x225.jpg,https://psychiatry.uams.edu/wp-content/uploads/sites/120/2019/08/freeman.jpg,https://psychiatry.uams.edu/wp-content/uploads/sites/120/2018/06/lavallais1.jpg,https://news.uams.edu/wp-content/uploads/2019/10/GeriatricUpdate2019-Teater-featured-560x315.jpg
"Adelman, Karen L Harvard Medical School",https://www.hms.harvard.edu/dms/bbs/fac/images/large/Adelman_Karen.jpg,https://adelman.hms.harvard.edu/sites/adelman.hms.harvard.edu/files/news_images/Chad_Claudia_1.jpg,https://adelman.hms.harvard.edu/sites/adelman.hms.harvard.edu/files/styles/slideshow/public/slideshow/DCS_2578_whitespace_0.jpg?itok=ZGsVEJc9,https://adelman.hms.harvard.edu/sites/adelman.hms.harvard.edu/files/styles/slideshow/public/slideshow/Adelman_lab_crop_0.jpg?itok=ha6-1i7V,https://adelman.hms.harvard.edu/sites/adelman.hms.harvard.edu/files/styles/slideshow/public/slideshow/DCS_4892.jpg?itok=itGKhquB
"Adusumilli, Prasad S. Sloan-Kettering Inst Can Research",https://www.mskcc.org/sites/default/files/styles/width_600/public/node/29/image/adusumilli-prasad.jpg,https://www.mskcc.org/sites/default/files/styles/width_800/public/node/125479/3x1/adusumilli-prasad-3x1.jpg,https://www.mskcc.org/sites/default/files/styles/large/public/node/157225/3x2/031717_msk-00091.jpeg,https://www.mskcc.org/sites/default/files/styles/width_800/public/node/119719/3x1/car_t_cell_024_3x1.jpg,https://www.mskcc.org/sites/default/files/styles/width_600/public/node/26506/3x2/adusumilli_lab_3x2.jpg
